mode freq_THz freq_cm-1 activity_E0.05 activity_E0.1
109 3.2438662153e+01 1.0820372991e+03 9.1232753966e-01 8.2548564783e-01
110 3.2440052181e+01 1.0820836654e+03 1.7153077355e+00 1.0779251525e+00
111 3.2908048023e+01 1.0976943263e+03 2.2347076708e+01 2.2120610914e+01
112 3.2908173472e+01 1.0976985109e+03 2.7269688053e+01 2.7238985442e+01
113 3.2910512928e+01 1.0977765467e+03 2.5048760440e+01 2.4511909614e+01
114 3.2911808060e+01 1.0978197477e+03 2.4886942244e+01 2.4583665183e+01
115 3.2912407712e+01 1.0978397499e+03 2.5629927512e+01 2.5657898253e+01
116 3.5512460977e+01 1.1845681914e+03 5.8706669299e-04 1.1564870264e-04
117 3.5519312451e+01 1.1847967320e+03 1.0828460998e-03 9.1706567614e-05
118 3.5524719345e+01 1.1849770865e+03 2.1434658815e-03 2.0597634710e-04
119 3.5547006157e+01 1.1857204946e+03 6.4431163930e-04 1.3057820732e-04
120 3.5550829278e+01 1.1858480202e+03 5.0123654136e-03 2.1982997585e-04
121 3.5559852831e+01 1.1861490135e+03 6.0526949525e-04 8.9352447738e-05
122 3.6142259796e+01 1.2055760187e+03 1.1584763229e-04 9.1525546206e-05
123 3.6142702371e+01 1.2055907814e+03 6.7399805502e-05 6.7239440808e-05
124 3.6144884149e+01 1.2056635577e+03 4.7276104440e-05 3.5799368784e-05
125 3.6149290852e+01 1.2058105495e+03 3.6801664784e-05 6.5198804624e-05
126 3.6154044297e+01 1.2059691074e+03 4.2124829336e-05 4.3091740619e-05
127 3.7214344584e+01 1.2413369180e+03 3.9753929198e+01 3.8987501088e+01
128 3.7216461264e+01 1.2414075228e+03 4.1599827248e+01 4.0569214428e+01
129 3.7218372796e+01 1.2414712847e+03 3.8302524405e+01 3.7596368625e+01
130 3.7221157540e+01 1.2415641737e+03 4.7210700752e+01 4.7621120236e+01
131 3.7227194662e+01 1.2417655504e+03 4.4737180290e+01 4.2635399224e+01
132 3.7994756668e+01 1.2673686630e+03 1.0662179149e-01 1.0635893576e-01
133 3.7997914350e+01 1.2674739920e+03 1.1346214069e-01 1.1013157095e-01
134 3.7999214941e+01 1.2675173750e+03 9.6203644547e-02 9.3172300206e-02
135 3.8885891164e+01 1.2970937102e+03 4.6722537569e-02 6.5008212346e-02
136 3.8887560306e+01 1.2971493868e+03 4.4906421553e-01 4.2738638353e-01
137 3.8887646974e+01 1.2971522777e+03 7.2141723529e-01 7.2458689390e-01
138 3.8890060594e+01 1.2972327874e+03 1.1255180786e+00 1.2576267087e+00
139 3.8891384663e+01 1.2972769536e+03 2.4267622231e-01 2.5831875001e-01
140 3.8892037356e+01 1.2972987251e+03 5.8176763376e-02 4.4692647071e-02
141 3.8892702799e+01 1.2973209219e+03 5.4147462993e-01 4.7363224895e-01
142 3.8895214444e+01 1.2974047014e+03 6.6840639359e-02 6.5784517631e-02
143 3.9663663704e+01 1.3230374096e+03 9.6102429734e-02 1.0965252845e-01
144 3.9666694054e+01 1.3231384912e+03 9.1266058036e-01 9.1915955168e-01
145 3.9669939502e+01 1.3232467477e+03 1.4691256811e-01 1.4422828464e-01
146 3.9842371375e+01 1.3289984558e+03 6.0368257703e-05 7.7110469290e-05
147 3.9844633283e+01 1.3290739050e+03 6.0981232856e-05 3.0525626542e-05
148 3.9846059851e+01 1.3291214901e+03 7.4958624132e-05 3.3760274219e-05
149 3.9848554104e+01 1.3292046895e+03 5.9586495489e-05 4.3166509429e-05
150 3.9852179697e+01 1.3293256262e+03 4.2523482869e-05 3.6332370027e-05
151 4.2507560772e+01 1.4178996048e+03 4.2898790937e+00 4.2803900442e+00
152 4.2511369486e+01 1.4180266498e+03 7.3534932042e+00 7.3544024783e+00
153 4.2518584274e+01 1.4182673092e+03 6.4830921388e-01 6.3389876211e-01
154 4.2519203123e+01 1.4182879518e+03 3.9856338626e+00 2.9996051939e+00
155 4.2521437888e+01 1.4183624956e+03 4.9844148538e+00 4.7805888576e+00
156 4.2528807349e+01 1.4186083143e+03 1.7551896056e-01 1.7167228277e-01
157 4.2535771578e+01 1.4188406160e+03 6.2681862832e-02 5.3822235575e-02
158 4.2539673165e+01 1.4189707589e+03 2.7979645215e-02 2.7556294062e-02
159 4.2541902619e+01 1.4190451255e+03 2.6198832766e-03 2.3514841134e-03
160 4.2869132201e+01 1.4299603294e+03 9.4796956287e-02 7.5263371557e-03
161 4.2879381098e+01 1.4303021959e+03 1.7568854310e-01 9.1191098898e-03
162 4.2882598278e+01 1.4304095094e+03 1.9242356920e-02 4.5012152647e-03
163 4.4134965696e+01 1.4721839899e+03 8.1223721522e+02 8.2957377778e+02
164 4.4546902485e+01 1.4859247221e+03 1.9048028512e+00 1.8939361813e+00
165 4.4552123077e+01 1.4860988623e+03 4.2340837719e+00 4.5129644367e+00
166 4.4552944750e+01 1.4861262704e+03 2.0304290416e+00 2.1162403573e+00
167 4.4557706279e+01 1.4862850979e+03 3.6850356599e+00 3.9401894956e+00
168 4.5455973140e+01 1.5162480552e+03 4.7930702428e-04 1.9869243597e-04
169 4.5457964365e+01 1.5163144753e+03 5.3472732441e-04 4.2857210739e-04
170 4.5469204007e+01 1.5166893894e+03 2.1908153416e-03 8.8556705614e-04
171 4.6342425861e+01 1.5458169352e+03 5.3635163647e-03 4.9343796199e-03
172 4.6347533081e+01 1.5459872937e+03 5.0370759062e-03 5.2332864886e-03
173 4.6350488075e+01 1.5460858617e+03 1.1669482044e-03 1.1692453739e-03
174 4.6355506055e+01 1.5462532435e+03 1.6742654599e-02 1.6396586924e-02
175 4.6358884446e+01 1.5463659345e+03 9.8062751272e-04 1.1175540541e-03
176 4.6656609362e+01 1.5562969687e+03 9.6656205649e+01 9.5531581777e+01
177 4.6666017598e+01 1.5566107937e+03 1.0460159301e+02 1.0470160480e+02
178 4.6667535593e+01 1.5566614285e+03 1.0151295272e+02 1.0174299723e+02
179 4.6669775168e+01 1.5567361327e+03 9.3429033714e+01 9.3143416419e+01
180 4.6674657166e+01 1.5568989786e+03 1.4008462408e+02 1.3711230432e+02
